disease,treatment
Achalasia,"How might achalasia be treated? The aim of treatment is to reduce the pressure at the lower esophageal sphincter. Therapy may involve: Injection with botulinum toxin (Botox) to help relax the sphincter muscles (used as a temporary fix)  Medications, such as long-acting nitrates (i.e. isosorbide dinitrate) or calcium channel blockers (i.e. nifedipine), to relax the lower esophagus sphincter Surgery (Heller myotomy) to decrease the pressure in the lower sphincter Pneumatic balloon dilation of the esophagus at the location of the narrowing (done during esophagogastroduodenoscopy) You can learn more about these treatment options by clicking on the following links: eMedicine Esophageal Motility Disorders Merck Manuals Motility Disorders A doctor should help to determine the best treatment for each individual situation."
Achondroplasia,"How might children with achondroplasia be treated? Recommendations for management of children with achondroplasia were outlined by the American Academy of Pediatrics Committee on Genetics in the article, Health Supervision for Children with Achondroplasia. We recommend that you review this article with your childs health care provider(s). These recommendations include:  Monitoring of height, weight, and head circumference using growth curves standardized for achondroplasia  Measures to avoid obesity starting in early childhood.  Careful neurologic examinations, with referral to a pediatric neurologist as necessary  MRI or CT of the foramen magnum region for evaluation of severe hypotonia or signs of spinal cord compression  Obtaining history for possible sleep apnea, with sleep studies as necessary  Evaluation for low thoracic or high lumbar gibbus if truncal weakness is present  Referral to a pediatric orthopedist if bowing of the legs interferes with walking  Management of frequent middle-ear infections  Speech evaluation by age two years  Careful monitoring of social adjustment The GeneReview article on achondroplasia also provides information on medical management.  http://www.ncbi.nlm.nih.gov/books/NBK1152/#achondroplasia.Management"
Acid Lipase Disease,"Enzyme replacement therapy for both Wolman's and cholesteryl ester storage disease is currently under investigation. Certain drugs may be given to help with adrenal gland production, and children may need to be fed intravenously. Individuals with CESD may benefit from a low cholesterol diet."
Acinetobacter in Healthcare Settings,Acinetobacter is often resistant to many commonly prescribed antibiotics. Decisions on treatment of infections with Acinetobacter should be made on a case-by-case basis by a healthcare provider. Acinetobacter infection typically occurs in ill patients and can either cause or contribute to death in these patients.
Acquired Cystic Kidney Disease,"If acquired cystic kidney disease is not causing complications, a person does not need treatment. A health care provider will treat infections with antibioticsmedications that kill bacteria. If large cysts are causing pain, a health care provider may drain the cyst using a long needle inserted into the cyst through the skin.
                
When a surgeon transplants a new kidney into a patient's body to treat kidney failure, acquired cystic kidney disease in the damaged kidneys, which usually remain in place after a transplant, often disappears.
                
A surgeon may perform an operation to remove tumors or suspected tumors. In rare cases, a surgeon performs an operation to stop cysts from bleeding.
                
Have Regular Screenings to Look for Cyst or Tumor Growth   Some health care providers recommend all people with end-stage kidney disease get screened for kidney cancer using CT scans or MRIs after 3 years of dialysis. People with acquired cystic kidney disease should talk with their health care provider about when to begin screening."
Acquired pure red cell aplasia,"How might acquired pure red cell aplasia be treated? The main goals of treatment for pure red cell aplasia (PRCA) are to restore the production of red blood cells, maintain adequate hemoglobin levels, and treat underlying disorders that may be causing the condition. The initial treatment plan typically includes blood transfusions for individuals who are severely anemic and have cardiorespiratory failure. PRCA due to medication or infections is usually reversible within a few months. Therefore, medications that may be causing the condition should be discontinued, and infections that may cause the condition should be treated. Underlying conditions that may cause PRCA such as a thymoma, hematological cancers, solid tumors, and systemic lupus erythematosus (SLE) should be treated as necessary as well. When the condition is idiopathic (of unknown cause) or due to an autoimmune disorder, PRCA is typically initially treated with corticosteroids. It has been reported that individuals who seem to be resistant to treatment may respond to a single course of intravenous immunoglobulin (IVIG,) while others have responded to a single dose. In the United States, financial issues may make it difficult to obtain this treatment because IVIG is expensive and is not approved by the Food and Drug Administration to treat PRCA. Additional and more detailed information about the management of acquired PRCA may be found on eMedicine's web site and can be viewed by clicking here."
Acromegaly,"Currently, treatment options include surgical removal of the tumor, medical therapy, and radiation therapy of the pituitary.
                
Goals of treatment are to
                
- reduce excess hormone production to normal levels  - relieve the pressure that the growing pituitary tumor may be exerting on the surrounding brain areas  - preserve normal pituitary function or treat hormone deficiencies  - improve the symptoms of acromegaly
                
Surgery
                
Surgery is the first option recommended for most people with acromegaly, as it is often a rapid and effective treatment. The surgeon reaches the pituitary via an incision through the nose or inside the upper lip and, with special tools, removes the tumor tissue in a procedure called transsphenoidal surgery. This procedure promptly relieves the pressure on the surrounding brain regions and leads to a rapid lowering of GH levels. If the surgery is successful, facial appearance and soft tissue swelling improve within a few days.
                
Surgery is most successful in patients with blood GH levels below 45 ng/ml before the operation and with pituitary tumors no larger than 10 millimeters (mm) in diameter. Success depends in large part on the skill and experience of the surgeon, as well as the location of the tumor. Even with the most experienced neurosurgeon, the chance of a cure is small if the tumor has extended into critical brain structures or into the cavernous sinus where surgery could be risky.
                
The success rate also depends on what level of GH is defined as a cure. The best measure of surgical success is normalization of GH and IGF-I levels. The overall rate of remission-control of the disease-after surgery ranges from 55 to 80 percent. (See For More Information to locate a board-certified neurosurgeon.)
                
A possible complication of surgery is damage to the surrounding normal pituitary tissue, which requires lifelong use of pituitary hormone replacement. The part of the pituitary that stores antidiuretic hormonea hormone important in water balancemay be temporarily or, rarely, permanently damaged and the patient may require medical therapy. Other potential problems include cerebrospinal fluid leaks and, rarely, meningitis. Cerebrospinal fluid bathes the brain and can leak from the nose if the incision area doesnt heal well. Meningitis is a bacterial or viral infection of the meninges, the outer covering of the brain.
                
Even when surgery is successful and hormone levels return to normal, people with acromegaly must be carefully monitored for years for possible recurrence of the disease. More commonly, hormone levels improve, but do not return to normal. Additional treatment, usually medications, may be required.
                
Medical Therapy
                
Medical therapy is most often used if surgery does not result in a cure and sometimes to shrink large tumors before surgery. Three medication groups are used to treat acromegaly.
                
Somatostatin analogs (SSAs) are the first medication group used to treat acromegaly. They shut off GH production and are effective in lowering GH and IGF-I levels in 50 to 70 percent of patients. SSAs also reduce tumor size in around 0 to 50 percent of patients but only to a modest degree. Several studies have shown that SSAs are safe and effective for long-term treatment and in treating patients with acromegaly caused by nonpituitary tumors. Long-acting SSAs are given by intramuscular injection once a month.
                
Digestive problems-such as loose stools, nausea, and gas-are a side effect in about half of people taking SSAs. However, the effects are usually temporary and rarely severe. About 10 to 20 percent of patients develop gallstones, but the gallstones do not usually cause symptoms. In rare cases, treatment can result in elevated blood glucose levels. More commonly, SSAs reduce the need for insulin and improve blood glucose control in some people with acromegaly who already have diabetes.
                
The second medication group is the GH receptor antagonists (GHRAs), which interfere with the action of GH. They normalize IGF-I levels in more than 90 percent of patients. They do not, however, lower GH levels. Given once a day through injection, GHRAs are usually well-tolerated by patients. The long-term effects of these drugs on tumor growth are still under study. Side effects can include headaches, fatigue, and abnormal liver function.
                
Dopamine agonists make up the third medication group. These drugs are not as effective as the other medications at lowering GH or IGF-I levels, and they normalize IGF-I levels in only a minority of patients. Dopamine agonists are sometimes effective in patients who have mild degrees of excess GH and have both acromegaly and hyperprolactinemiatoo much of the hormone prolactin. Dopamine agonists can be used in combination with SSAs. Side effects can include nausea, headache, and lightheadedness.
                
Agonist: A drug that binds to a receptor of a cell and triggers a response by the cell, mimicking the action of a naturally occurring substance.   Antagonist: A chemical that acts within the body to reduce the physiological activity of another chemical substance or hormone.
                
Radiation Therapy
                
Radiation therapy is usually reserved for people who have some tumor remaining after surgery and do not respond to medications. Because radiation leads to a slow lowering of GH and IGF-I levels, these patients often also receive medication to lower hormone levels. The full effect of this therapy may not occur for many years.
                
The two types of radiation delivery are conventional and stereotactic. Conventional radiation delivery targets the tumor with external beams but can damage surrounding tissue. The treatment delivers small doses of radiation multiple times over 4 to 6 weeks, giving normal tissue time to heal between treatments.
                
Stereotactic delivery allows precise targeting of a high-dose beam of radiation at the tumor from varying angles. The patient must wear a rigid head frame to keep the head still. The types of stereotactic radiation delivery currently available are proton beam, linear accelerator (LINAC), and gamma knife. With stereotactic delivery, the tumor must be at least 5 mm from the optic chiasm to prevent radiation damage. This treatment can sometimes be done in a single session, reducing the risk of damage to surrounding tissue.
                
All forms of radiation therapy cause a gradual decline in production of other pituitary hormones over time, resulting in the need for hormone replacement in most patients. Radiation also can impair a patients fertility. Vision loss and brain injury are rare complications. Rarely, secondary tumors can develop many years later in areas that were in the path of the radiation beam.Currently, treatment options include surgical removal of the tumor, medical therapy, and radiation therapy of the pituitary.
                
Goals of treatment are to
                
- reduce excess hormone production to normal levels  - relieve the pressure that the growing pituitary tumor may be exerting on the surrounding brain areas  - preserve normal pituitary function or treat hormone deficiencies  - improve the symptoms of acromegaly
                
Surgery
                
Surgery is the first option recommended for most people with acromegaly, as it is often a rapid and effective treatment. The surgeon reaches the pituitary via an incision through the nose or inside the upper lip and, with special tools, removes the tumor tissue in a procedure called transsphenoidal surgery. This procedure promptly relieves the pressure on the surrounding brain regions and leads to a rapid lowering of GH levels. If the surgery is successful, facial appearance and soft tissue swelling improve within a few days.
                
Surgery is most successful in patients with blood GH levels below 45 ng/ml before the operation and with pituitary tumors no larger than 10 millimeters (mm) in diameter. Success depends in large part on the skill and experience of the surgeon, as well as the location of the tumor. Even with the most experienced neurosurgeon, the chance of a cure is small if the tumor has extended into critical brain structures or into the cavernous sinus where surgery could be risky.
                
The success rate also depends on what level of GH is defined as a cure. The best measure of surgical success is normalization of GH and IGF-I levels. The overall rate of remission-control of the disease-after surgery ranges from 55 to 80 percent. (See For More Information to locate a board-certified neurosurgeon.)
                
A possible complication of surgery is damage to the surrounding normal pituitary tissue, which requires lifelong use of pituitary hormone replacement. The part of the pituitary that stores antidiuretic hormonea hormone important in water balancemay be temporarily or, rarely, permanently damaged and the patient may require medical therapy. Other potential problems include cerebrospinal fluid leaks and, rarely, meningitis. Cerebrospinal fluid bathes the brain and can leak from the nose if the incision area doesnt heal well. Meningitis is a bacterial or viral infection of the meninges, the outer covering of the brain.
                
Even when surgery is successful and hormone levels return to normal, people with acromegaly must be carefully monitored for years for possible recurrence of the disease. More commonly, hormone levels improve, but do not return to normal. Additional treatment, usually medications, may be required.
                
Medical Therapy
                
Medical therapy is most often used if surgery does not result in a cure and sometimes to shrink large tumors before surgery. Three medication groups are used to treat acromegaly.
                
Somatostatin analogs (SSAs) are the first medication group used to treat acromegaly. They shut off GH production and are effective in lowering GH and IGF-I levels in 50 to 70 percent of patients. SSAs also reduce tumor size in around 0 to 50 percent of patients but only to a modest degree. Several studies have shown that SSAs are safe and effective for long-term treatment and in treating patients with acromegaly caused by nonpituitary tumors. Long-acting SSAs are given by intramuscular injection once a month.
                
Digestive problems-such as loose stools, nausea, and gas-are a side effect in about half of people taking SSAs. However, the effects are usually temporary and rarely severe. About 10 to 20 percent of patients develop gallstones, but the gallstones do not usually cause symptoms. In rare cases, treatment can result in elevated blood glucose levels. More commonly, SSAs reduce the need for insulin and improve blood glucose control in some people with acromegaly who already have diabetes.
                
The second medication group is the GH receptor antagonists (GHRAs), which interfere with the action of GH. They normalize IGF-I levels in more than 90 percent of patients. They do not, however, lower GH levels. Given once a day through injection, GHRAs are usually well-tolerated by patients. The long-term effects of these drugs on tumor growth are still under study. Side effects can include headaches, fatigue, and abnormal liver function.
                
Dopamine agonists make up the third medication group. These drugs are not as effective as the other medications at lowering GH or IGF-I levels, and they normalize IGF-I levels in only a minority of patients. Dopamine agonists are sometimes effective in patients who have mild degrees of excess GH and have both acromegaly and hyperprolactinemiatoo much of the hormone prolactin. Dopamine agonists can be used in combination with SSAs. Side effects can include nausea, headache, and lightheadedness.
                
Agonist: A drug that binds to a receptor of a cell and triggers a response by the cell, mimicking the action of a naturally occurring substance.   Antagonist: A chemical that acts within the body to reduce the physiological activity of another chemical substance or hormone.
                
Radiation Therapy
                
Radiation therapy is usually reserved for people who have some tumor remaining after surgery and do not respond to medications. Because radiation leads to a slow lowering of GH and IGF-I levels, these patients often also receive medication to lower hormone levels. The full effect of this therapy may not occur for many years.
                
The two types of radiation delivery are conventional and stereotactic. Conventional radiation delivery targets the tumor with external beams but can damage surrounding tissue. The treatment delivers small doses of radiation multiple times over 4 to 6 weeks, giving normal tissue time to heal between treatments.
                
Stereotactic delivery allows precise targeting of a high-dose beam of radiation at the tumor from varying angles. The patient must wear a rigid head frame to keep the head still. The types of stereotactic radiation delivery currently available are proton beam, linear accelerator (LINAC), and gamma knife. With stereotactic delivery, the tumor must be at least 5 mm from the optic chiasm to prevent radiation damage. This treatment can sometimes be done in a single session, reducing the risk of damage to surrounding tissue.
                
All forms of radiation therapy cause a gradual decline in production of other pituitary hormones over time, resulting in the need for hormone replacement in most patients. Radiation also can impair a patients fertility. Vision loss and brain injury are rare complications. Rarely, secondary tumors can develop many years later in areas that were in the path of the radiation beam.No single treatment is effective for all patients. Treatment should be individualized, and often combined, depending on patient characteristics such as age and tumor size.
                
If the tumor has not yet invaded surrounding nonpituitary tissues, removal of the pituitary adenoma by an experienced neurosurgeon is usually the first choice. Even if a cure is not possible, surgery may be performed if the patient has symptoms of neurological problems such as loss of peripheral vision or cranial nerve problems. After surgery, hormone levels are measured to determine whether a cure has been achieved. This determination can take up to 8 weeks because IGF-I lasts a long time in the body's circulation. If cured, a patient must be monitored for a long time for increasing GH levels.
                
If surgery does not normalize hormone levels or a relapse occurs, an endocrinologist should recommend additional drug therapy. With each medication, long-term therapy is necessary because their withdrawal can lead to rising GH levels and tumor re-expansion.
                
Radiation therapy is generally reserved for patients whose tumors are not completely removed by surgery, who are not good candidates for surgery because of other health problems, or who do not respond adequately to surgery and medication."
Acute Disseminated Encephalomyelitis,"Treatment for ADEM is targeted at suppressing inflammation in the brain using anti-inflammatory drugs. Most individuals respond to several days of intravenous corticosteroids such as methylprednisolone, followed by oral corticosteroid treatment. When corticosteroids fail to work, plasmapheresis or intravenous immunoglobulin therapy are possible secondary treatment options that are reported to help in some severe cases. Additional treatment is symptomatic and supportive."
Acute febrile neutrophilic dermatosis,"How might acute febrile neutrophilic dermatosis be treated?  Left untreated, acute febrile neutrophilic dermatosis not associated with a more serious condition may disappear on its own within one to three months. Medications can improve skin lesions and associated symptoms in just two or three days, with the worst of the lesions disappearing within one to four weeks. Doctors usually prescribe systemic corticosteroids (prednisone or prednisolone) to treat this condition. These oral anti-inflammatory medications reduce redness, itching, swelling and allergic reactions.  In the pediatric population, long-term use of corticosteroids can cause problems with linear growth, blood pressure, and blood glucose levels. Children may also have social sequelae associated with their use. Therefore, attempts are usually made to treat children with steroid-sparing drugs. Other treatment options include indomethacin, colchicine, potassium iodide, dapsone, cyclosporine, etretinate, pentoxifylline, clofazimine, doxycycline, metronidazole, isotretinoin, methotrexate, cyclophosphamide, chlorambucil, and interferon alpha, all of which have shown some success in the resolution of symtpoms.   With or without treatment, the lesions rarely leave a mark or scar when they eventually disappear. Even after the lesions have resolved, treatment may continue, as recurrence of the condition is common. If an underlying cause can be identified, it should be treated (i.e. resection of solid tumors, treatment of infections, and discontinuation of causative medication). Successful therapy of the underlying disorder may promote resolution of acute febrile neutrophilic dermatosis and prevent recurrences."
Acute intermittent porphyria,"How might acute intermittent porphyria (AIP) be treated? Treatment of AIP may vary based on the trigger of the attack and the symptoms present. Treatment may include stopping medications that cause or worsen the symptoms, treating any infections which may be present, administration of pain medication, monitoring fluid balance and/or correcting electrolyte disturbances, monitoring neurologic status and administering respiratory support. Mild attacks can be manged with increased caloric intake and fluid replacement. Recurrent acute attacks should be managed by a porphyria specialist. Hospitalization is often necessary.  Panhematin, an intravenous medication used to correct heme deficiency, may also be prescribed. More detailed information about the use of Panhematin for the treatment of AIP can be found by clicking here."
Acute respiratory distress syndrome,"How might acute respiratory distress syndrome (ARDS) be treated? Typically people with ARDS need to be in an intensive care unit (ICU). The goal of treatment is to provide breathing support and treat the cause of ARDS. This may involve medications to treat infections, reduce inflammation, and remove fluid from the lungs. A breathing machine is used to deliver high doses of oxygen and continued pressure called PEEP (positive end-expiratory pressure) to the damaged lungs. Patients often need to be deeply sedated with medications when using this equipment. Some research suggests that giving medications to temporarily paralyze a person with ARDS will increase the chance of recovery. Treatment continues until the patient is well enough to breathe on his/her own. More detailed information about the treatment of ARDS can be accessed through the National Heart, Lung and Blood Institute (NHLBI) and Medscape Reference.  An article detailing Oxygen Therapy is also available."
